pangkat,masa_kerja,pokok
1,0,1560800
1,1,1560800
1,2,1610000
1,3,1610000
1,4,1660700
1,5,1660700
1,6,1713000
1,7,1713000
1,8,1766900
1,9,1766900
1,10,1822600
1,11,1822600
1,12,1880000
1,13,1880000
1,14,1939200
1,15,1939200
1,16,2000300
1,17,2000300
1,18,2063300
1,19,2063300
1,20,2128300
1,21,2128300
1,22,2195300
1,23,2195300
1,24,2264400
1,25,2264400
1,26,2335800
1,27,2335800
2,3,1704500
2,4,1704500
2,5,1758200
2,6,1758200
2,7,1813600
2,8,1813600
2,9,1870700
2,10,1870700
2,11,1929600
2,12,1929600
2,13,1990400
2,14,1990400
2,15,2053100
2,16,2053100
2,17,2177700
2,18,2177700
2,19,2184400
2,20,2184400
2,21,2253200
2,22,2253200
2,23,2324200
2,24,2324200
2,25,2397400
2,26,2397400
2,27,2472900
3,3,1776600
3,4,1776600
3,5,1832600
3,6,1832600
3,7,1890300
3,8,1890300
3,9,1949800
3,10,1949800
3,11,2011200
3,12,2011200
3,13,2074600
3,14,2074600
3,15,2139900
3,16,2139900
3,17,2207300
3,18,2207300
3,19,2276800
3,20,2276800
3,21,2348500
3,22,2348500
3,23,2422500
3,24,2422500
3,25,2498800
3,26,2498800
3,27,2577500
4,3,1851800
4,4,1851800
4,5,1910100
4,6,1910100
4,7,1970200
4,8,1970200
4,9,2032300
4,10,2032300
4,11,2096300
4,12,2096300
4,13,2162300
4,14,2162300
4,15,2230400
4,16,2230400
4,17,2300700
4,18,2300700
4,19,2373100
4,20,2373100
4,21,2447900
4,22,2447900
4,23,2525000
4,24,2525000
4,25,2604500
4,26,2604500
4,27,2686500
5,0,2022200
5,1,2054100
5,2,2054100
5,3,2118800
5,4,2118800
5,5,2185500
5,6,2185500
5,7,2254300
5,8,2254300
5,9,2325300
5,10,2325300
5,11,2398600
5,12,2398600
5,13,2474100
5,14,2474100
5,15,2552000
5,16,2552000
5,17,2632400
5,18,2632400
5,19,2715300
5,20,2715300
5,21,2800800
5,22,2800800
5,23,2889100
5,24,2889100
5,25,2980000
5,26,2980000
5,27,3073900
5,28,3073900
5,29,3170700
5,30,3170700
5,31,3270600
5,32,3270600
5,33,3373600
6,3,2208400
6,4,2208400
6,5,2277900
6,6,2277900
6,7,2349700
6,8,2349700
6,9,2423700
6,10,2423700
6,11,2500000
6,12,2500000
6,13,2578800
6,14,2578800
6,15,2660000
6,16,2660000
6,17,2743800
6,18,2743800
6,19,2830200
6,20,2830200
6,21,2919300
6,22,2919300
6,23,3011300
6,24,3011300
6,25,3106100
6,26,3106100
6,27,3203900
6,28,3203900
6,29,3304800
6,30,3304800
6,31,3408900
6,32,3408900
6,33,3516300
7,3,2301800
7,4,2301800
7,5,2374300
7,6,2374300
7,7,2449100
7,8,2449100
7,9,2526200
7,10,2526200
7,11,2605800
7,12,2605800
7,13,2687800
7,14,2687800
7,15,2772500
7,16,2772500
7,17,2859800
7,18,2859800
7,19,2949900
7,20,2949900
7,21,3042800
7,22,3042800
7,23,3138600
7,24,3138600
7,25,3237500
7,26,3237500
7,27,3339400
7,28,3339400
7,29,3444600
7,30,3444600
7,31,3553100
7,32,3553100
7,33,3665000
8,3,2399200
8,4,2399200
8,5,2474400
8,6,2474400
8,7,2552700
8,8,2552700
8,9,2633100
8,10,2633100
8,11,2716000
8,12,2716000
8,13,2801500
8,14,2801500
8,15,2889800
8,16,2889800
8,17,2980800
8,18,2980800
8,19,3074700
8,20,3074700
8,21,3171500
8,22,3171500
8,23,3271400
8,24,3271400
8,25,3374400
8,26,3374400
8,27,3480700
8,28,3480700
8,29,3590300
8,30,3590300
8,31,3703400
8,32,3703400
8,33,3820000
9,0,2579400
9,1,2579400
9,2,2660700
9,3,2660700
9,4,2744500
9,5,2744500
9,6,2830900
9,7,2830900
9,8,2920100
9,9,2920100
9,10,3012000
9,11,3012000
9,12,3106900
9,13,3106900
9,14,3204700
9,15,3204700
9,16,3305700
9,17,3305700
9,18,3409800
9,19,3409800
9,20,3517200
9,21,3517200
9,22,3627900
9,23,3627900
9,24,3742200
9,25,3742200
9,26,3860100
9,27,3860100
9,28,3981600
9,29,3981600
9,30,4107000
9,31,4107000
9,32,4236400
10,0,2688500
10,1,2688500
10,2,2773200
10,3,2773200
10,4,2860500
10,5,2860500
10,6,2950600
10,7,2950600
10,8,3043600
10,9,3043600
10,10,3139400
10,11,3139400
10,12,3238300
10,13,3238300
10,14,3340300
10,15,3340300
10,16,3445500
10,17,3445500
10,18,3554000
10,19,3554000
10,20,3665900
10,21,3665900
10,22,3781400
10,23,3781400
10,24,3900500
10,25,3900500
10,26,4023300
10,27,4023300
10,28,4150100
10,29,4150100
10,30,4280800
10,31,4280800
10,32,4415600
11,0,2802300
11,1,2802300
11,2,2890500
11,3,2890500
11,4,2981500
11,5,2981500
11,6,3075500
11,7,3075500
11,8,3172300
11,9,3172300
11,10,3272200
11,11,3272200
11,12,3375300
11,13,3375300
11,14,3481600
11,15,3481600
11,16,3591200
11,17,3591200
11,18,3704300
11,19,3704300
11,20,3821000
11,21,3821000
11,22,3941400
11,23,3941400
11,24,4065500
11,25,4065500
11,26,4193500
11,27,4193500
11,28,4325600
11,29,4325600
11,30,4461800
11,31,4461800
11,32,4602400
12,0,2920800
12,1,2920800
12,2,3012800
12,3,3012800
12,4,3107700
12,5,3107700
12,6,3205500
12,7,3205500
12,8,3306500
12,9,3306500
12,10,3410600
12,11,3410600
12,12,3518100
12,13,3518100
12,14,3628900
12,15,3628900
12,16,3743100
12,17,3743100
12,18,3861000
12,19,3861000
12,20,3982600
12,21,3982600
12,22,4108000
12,23,4108000
12,24,4237500
12,25,4237500
12,26,4370900
12,27,4370900
12,28,4508600
12,29,4508600
12,30,4650600
12,31,4650600
12,32,4797000
13,0,3044300
13,1,3044300
13,2,3140200
13,3,3140200
13,4,3239100
13,5,3239100
13,6,3341100
13,7,3341100
13,8,3446400
13,9,3446400
13,10,3554900
13,11,3554900
13,12,3666900
13,13,3666900
13,14,3782400
13,15,3782400
13,16,3901500
13,17,3901500
13,18,4024400
13,19,4024400
13,20,4151100
13,21,4151100
13,22,4281800
13,23,4281800
13,24,4416700
13,25,4416700
13,26,4555800
13,27,4555800
13,28,4699300
13,29,4699300
13,30,4847300
13,31,4847300
13,32,5000000
14,0,3173100
14,1,3173100
14,2,3273100
14,3,3273100
14,4,3376100
14,5,3376100
14,6,3482500
14,7,3482500
14,8,3592100
14,9,3592100
14,10,3705300
14,11,3705300
14,12,3822000
14,13,3822000
14,14,3942400
14,15,3942400
14,16,4066500
14,17,4066500
14,18,4194600
14,19,4194600
14,20,4326700
14,21,4326700
14,22,4463000
14,23,4463000
14,24,4603500
14,25,4603500
14,26,4748500
14,27,4748500
14,28,4898100
14,29,4898100
14,30,5052300
14,31,5052300
14,32,5211500
15,0,3307300
15,1,3307300
15,2,3411500
15,3,3411500
15,4,3518900
15,5,3518900
15,6,3629800
15,7,3629800
15,8,3744100
15,9,3744100
15,10,3862000
15,11,3862000
15,12,3983600
15,13,3983600
15,14,4109100
15,15,4109100
15,16,4238500
15,17,4238500
15,18,4372000
15,19,4372000
15,20,4509700
15,21,4509700
15,22,4651800
15,23,4651800
15,24,4798300
15,25,4798300
15,26,4949400
15,27,4949400
15,28,5105300
15,29,5105300
15,30,5266100
15,31,5266100
15,32,5431900
16,0,3447200
16,1,3447200
16,2,3555800
16,3,3555800
16,4,3667800
16,5,3667800
16,6,3783300
16,7,3783300
16,8,3902500
16,9,3902500
16,10,4025400
16,11,4025400
16,12,4152200
16,13,4152200
16,14,4282900
16,15,4282900
16,16,4417800
16,17,4417800
16,18,4557000
16,19,4557000
16,20,4700500
16,21,4700500
16,22,4848500
16,23,4848500
16,24,5001200
16,25,5001200
16,26,5158700
16,27,5158700
16,28,5321200
16,29,5321200
16,30,5488800
16,31,5488800
16,32,5661700
17,0,3593100
17,1,3593100
17,2,3706200
17,3,3706200
17,4,3822900
17,5,3822900
17,6,3943300
17,7,3943300
17,8,4067500
17,9,4067500
17,10,4195700
17,11,4195700
17,12,4327800
17,13,4327800
17,14,4646100
17,15,4646100
17,16,4604700
17,17,4604700
17,18,4749700
17,19,4749700
17,20,4899300
17,21,4899300
17,22,5053600
17,23,5053600
17,24,5212800
17,25,5212800
17,26,5377000
17,27,5377000
17,28,5546300
17,29,5546300
17,30,5721000
17,31,5721000
17,32,5901200